Case Study, Number of Tests, Attach Prior Runtime, Set Breakpoint, Stepping, Show Call Stack, Show Variables, Trace Output
avro-1.11.0-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
commafeed-jar-with-dependencies,4,4,4,4,4,4,4
commons-lang3-3.11-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
docker-maven-plugin-0.33-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
google-java-format-1.10-SNAPSHOT-jar-with-dependencies,8,8,6,6,6,6,0
jimfs-HEAD-SNAPSHOT-jar-with-dependencies,6,6,6,6,6,6,6
jsoup-1.14.1-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
jvm-profiler-1.0.0-jar-with-dependencies,10,10,9,9,9,9,9
logback-core-1.3.0-alpha6-SNAPSHOT-jar-with-dependencies,9,9,9,9,9,9,9
pf4j-3.4.0-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
poi-tl-1.7.3-jar-with-dependencies,10,10,10,10,10,10,5
pushy-0.14.1-SNAPSHOT,10,10,10,10,10,10,10
scribejava-core-6.9.1-SNAPSHOT-jar-with-dependencies,5,5,5,5,5,5,5
sootclasses-trunk,2,2,2,2,2,2,2
tracker-server,4,4,4,4,4,4,4
truth-HEAD-SNAPSHOT-jar-with-dependencies,10,10,10,10,10,10,10
webcam-capture-0.3.13-SNAPSHOT-jar-with-dependencies,3,3,3,3,3,3,3
webmagic-core-0.7.3-jar-with-dependencies,1,1,1,1,1,1,1
