Case Study, Number of Tests, Attach Prior Runtime, Set Breakpoint, Show Call Stack, Stepping, Show Registers, Set Watch Point, Set Register Value
commons-lang3-3.11-SNAPSHOT-jar-with-dependencies,10,10,10,10,1,10,10,10
tracker-server,4,4,4,4,0,4,4,4
google-java-format-1.10-SNAPSHOT-jar-with-dependencies,8,8,0,0,0,0,8,8
sootclasses-trunk,2,2,2,2,0,2,2,2
commafeed-jar-with-dependencies,4,4,4,4,0,4,4,4
webmagic-core-0.7.3-jar-with-dependencies,1,1,1,1,0,1,1,1
scribejava-core-6.9.1-SNAPSHOT-jar-with-dependencies,5,5,5,5,0,5,5,5
pushy-0.14.1-SNAPSHOT,10,10,10,10,0,10,10,10
jimfs-HEAD-SNAPSHOT-jar-with-dependencies,6,6,6,6,2,6,6,6
webcam-capture-0.3.13-SNAPSHOT-jar-with-dependencies,3,3,3,3,1,3,3,3
jvm-profiler-1.0.0-jar-with-dependencies,10,10,9,10,1,10,10,10
jsoup-1.14.1-SNAPSHOT-jar-with-dependencies,10,10,10,10,0,10,10,10
poi-tl-1.7.3-jar-with-dependencies,10,10,10,9,0,10,10,10
truth-HEAD-SNAPSHOT-jar-with-dependencies,10,10,10,9,1,10,10,10
pf4j-3.4.0-SNAPSHOT-jar-with-dependencies,10,10,10,10,7,10,10,10
logback-core-1.3.0-alpha6-SNAPSHOT-jar-with-dependencies,9,9,9,9,0,8,9,9
docker-maven-plugin-0.33-SNAPSHOT-jar-with-dependencies,10,10,10,10,0,10,10,10
avro-1.11.0-SNAPSHOT-jar-with-dependencies,10,10,10,9,0,10,10,10
